risk_id,company_id,fiscal_year,risk_category,description
1,1,2024,Product Concentration,"iPhone still accounts for over half of total revenue, concentrating results in a single product line."
2,1,2024,Supply Chain,Dependence on a small number of contract manufacturers in mainland China and Vietnam.
3,1,2024,Regulatory,App Store regulatory risk under the EU Digital Markets Act and ongoing US antitrust litigation.
4,1,2024,Foreign Exchange,"Roughly 60% of revenue is generated outside the United States, exposing results to FX volatility."
5,1,2024,AI Execution,Risk of delivering Apple Intelligence features at the cadence promised at WWDC 2024.
6,2,2024,AI Capacity,GPU capacity demand continues to outpace supply through at least the first half of FY2025.
7,2,2024,Partner Dependence,Heavy dependence on the OpenAI partnership exposes Microsoft to model availability and pricing changes.
8,2,2024,Regulatory,Scrutiny around the Activision Blizzard acquisition and bundling of Teams with Office in the EU.
9,2,2024,Cybersecurity,Cybersecurity exposure following the 2023 Storm-0558 incident.
10,2,2024,Foreign Exchange,About half of revenue is generated outside the US.
11,3,2024,Competition,Intense competition and rapid technological change can compress margins.
12,3,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
13,4,2024,Customer Concentration,Top three hyperscaler customers contributed roughly 40% of Data Center revenue.
14,4,2024,Export Controls,"US export controls restrict sales of advanced GPUs to China, historically ~20% of Data Center revenue."
15,4,2024,Competition,"Competitive risk from AMD MI300, Intel Gaudi, and in-house custom silicon at hyperscalers."
16,4,2024,Supply Chain,Supply-chain concentration on TSMC for leading-edge wafers.
17,4,2024,Demand Normalization,Demand normalization risk as the first wave of generative AI training capex matures.
18,5,2024,Demand,Discretionary demand is sensitive to the consumer-spending cycle.
19,5,2024,Competition,Pricing pressure from low-cost and online competitors.
20,6,2024,Competition,Intense competition and rapid technological change can compress margins.
21,6,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
22,7,2024,Demand,Discretionary demand is sensitive to the consumer-spending cycle.
23,7,2024,Competition,Pricing pressure from low-cost and online competitors.
24,8,2024,Credit,Provisions for credit losses can rise as consumer delinquencies normalize.
25,8,2024,Interest Rate,Net interest income is sensitive to the rate cycle and deposit beta.
26,8,2024,Regulatory,Capital and liquidity requirements constrain balance-sheet flexibility.
27,9,2024,Credit,Provisions for credit losses can rise as consumer delinquencies normalize.
28,9,2024,Interest Rate,Net interest income is sensitive to the rate cycle and deposit beta.
29,9,2024,Regulatory,Capital and liquidity requirements constrain balance-sheet flexibility.
30,10,2024,Credit,Provisions for credit losses can rise as consumer delinquencies normalize.
31,10,2024,Interest Rate,Net interest income is sensitive to the rate cycle and deposit beta.
32,10,2024,Regulatory,Capital and liquidity requirements constrain balance-sheet flexibility.
33,11,2024,Credit,Provisions for credit losses can rise as consumer delinquencies normalize.
34,11,2024,Interest Rate,Net interest income is sensitive to the rate cycle and deposit beta.
35,11,2024,Regulatory,Capital and liquidity requirements constrain balance-sheet flexibility.
36,12,2024,Credit,Provisions for credit losses can rise as consumer delinquencies normalize.
37,12,2024,Interest Rate,Net interest income is sensitive to the rate cycle and deposit beta.
