exec_id,company_id,name,title,since_year
1,1,Tim Cook,Chief Executive Officer,
2,1,Luca Maestri,Chief Financial Officer,
3,2,Satya Nadella,Chief Executive Officer,
4,2,Amy Hood,Chief Financial Officer,
5,3,Sundar Pichai,Chief Executive Officer,
6,3,Anat Ashkenazi,Chief Financial Officer,
7,4,Jensen Huang,Chief Executive Officer,
8,4,Colette Kress,Chief Financial Officer,
9,5,Andy Jassy,Chief Executive Officer,
10,5,Brian Olsavsky,Chief Financial Officer,
11,6,Mark Zuckerberg,Chief Executive Officer,
12,6,Susan Li,Chief Financial Officer,
13,7,Elon Musk,Chief Executive Officer,
14,7,Vaibhav Taneja,Chief Financial Officer,
15,8,Jamie Dimon,Chief Executive Officer,
16,9,Brian Moynihan,Chief Executive Officer,
17,10,Charlie Scharf,Chief Executive Officer,
18,11,David Solomon,Chief Executive Officer,
19,12,Ted Pick,Chief Executive Officer,
20,13,Darren Woods,Chief Executive Officer,
21,14,Mike Wirth,Chief Executive Officer,
22,15,Albert Bourla,Chief Executive Officer,
23,16,Joaquin Duato,Chief Executive Officer,
24,17,Andrew Witty,Chief Executive Officer,
25,18,Robert Michael,Chief Executive Officer,
26,19,Doug McMillon,Chief Executive Officer,
27,20,Jon Moeller,Chief Executive Officer,
28,21,James Quincey,Chief Executive Officer,
29,22,Ramon Laguarta,Chief Executive Officer,
30,23,Bob Iger,Chief Executive Officer,
31,24,Ted Sarandos,Chief Executive Officer,
32,25,Shantanu Narayen,Chief Executive Officer,
33,26,Marc Benioff,Chief Executive Officer,
34,27,Safra Catz,Chief Executive Officer,
35,28,Pat Gelsinger,Chief Executive Officer,
36,29,Lisa Su,Chief Executive Officer,
37,30,Cristiano Amon,Chief Executive Officer,
38,31,Hock Tan,Chief Executive Officer,
39,32,Julie Sweet,Chief Executive Officer,
40,33,Arvind Krishna,Chief Executive Officer,
41,34,Ron Vachris,Chief Executive Officer,
42,35,Ted Decker,Chief Executive Officer,
43,36,Marvin Ellison,Chief Executive Officer,
44,37,Elliott Hill,Chief Executive Officer,
45,38,Brian Niccol,Chief Executive Officer,
46,39,Chris Kempczinski,Chief Executive Officer,
47,40,Mike Sievert,Chief Executive Officer,
48,41,John Stankey,Chief Executive Officer,
49,42,Hans Vestberg,Chief Executive Officer,
50,43,Sanjiv Lamba,Chief Executive Officer,
51,44,Seifi Ghasemi,Chief Executive Officer,
52,45,Larry Culp,Chief Executive Officer,
53,46,Jim Umpleby,Chief Executive Officer,
54,47,Vimal Kapur,Chief Executive Officer,
55,48,William Brown,Chief Executive Officer,
56,49,Jim Taiclet,Chief Executive Officer,
57,50,Chris Calio,Chief Executive Officer,
